chapter_key,chapter_name,chapter_type_code,university,district,region,status_code,is_dechartered
474,Nu Mu,collegiate,Georgia Inst of Tech,Georgia,Southern,Active,false
578,Nu Mu Lambda,alumni,,Georgia,Southern,Active,false
475,Nu Nu,collegiate,Marshall University,West Virginia,Midwestern,Active,false
579,Nu Nu Lambda,alumni,,Indiana,Midwestern,Dechartered,true
477,Nu Omicron,collegiate,,Wisconsin,Midwestern,Dechartered,true
581,Nu Omicron Lambda,alumni,,Virginia,Eastern,Active,false
483,Nu Phi,collegiate,Coastal Carolina University,South Carolina,Southern,Active,false
587,Nu Phi Lambda,alumni,,Southern California,Western,Active,false
478,Nu Pi,collegiate,University of Evansville,Indiana,Midwestern,Dechartered,true
582,Nu Pi Lambda,alumni,,Texas,Southwestern,Active,false
485,Nu Psi,collegiate,Louisiana State University,Louisiana,Southwestern,Probation,false
589,Nu Psi Lambda,alumni,,Illinois,Midwestern,Active,false
479,Nu Rho,collegiate,DePaul University,Illinois,Midwestern,Active,false
583,Nu Rho Lambda,alumni,,Michigan,Midwestern,Dechartered,true
480,Nu Sigma,collegiate,Stanford University,Northern California,Western,Active,false
584,Nu Sigma Lambda,alumni,,Texas,Southwestern,Active,false
481,Nu Tau,collegiate,University of Montevallo,Alabama,Southern,Active,false
585,Nu Tau Lambda,alumni,,Southern California,Western,Active,false
471,Nu Theta,collegiate,Old Dominion University,Virginia,Eastern,Active,false
575,Nu Theta Lambda,alumni,,Louisiana,Southwestern,Active,false
482,Nu Upsilon,collegiate,University of Mississippi,Mississippi,Southern,Active,false
586,Nu Upsilon Lambda,alumni,,Pennsylvania,Eastern,Dechartered,true
476,Nu Xi,collegiate,Marquette University,Wisconsin,Midwestern,Dechartered,true
580,Nu Xi Lambda,alumni,,New England,Eastern,Dechartered,true
469,Nu Zeta,collegiate,Western Carolina University,North Carolina,Southern,Active,false
573,Nu Zeta Lambda,alumni,,Great Northwest,Western,Inactive,false
"10,000",Omega,alumni,,District 700,Region 7,Active,false
14,Omicron,collegiate,University of Pittsburgh,Pennsylvania,Eastern,Active,false
708,Omicron Alpha,collegiate,,Alabama,Southern,Dechartered,true
612,Omicron Alpha Lambda,alumni,,Virginia,Eastern,Active,false
