chapter_key,chapter_name,district,region,district_director_name,district_director_email,regional_vice_president_name,regional_vice_president_email
427,Kappa Theta,Tennessee,Southern,,,,
531,Kappa Theta Lambda,New Jersey,Eastern,,,,
438,Kappa Upsilon,Florida,Southern,,,,
542,Kappa Upsilon Lambda,New York,Eastern,,,,
432,Kappa Xi,Tennessee,Southern,,,,
536,Kappa Xi Lambda,New York,Eastern,,,,
425,Kappa Zeta,New York,Eastern,,,,
529,Kappa Zeta Lambda,Tennessee,Southern,,,,
11,Mu,Minnesota,Midwestern,,,,
442,Mu Alpha,Georgia,Southern,,,,
546,Mu Alpha Lambda,Illinois,Midwestern,,,,
443,Mu Beta,Tennessee,Southern,,,,
547,Mu Beta Lambda,Southern California,Western,,,,
462,Mu Chi,Southern California,Western,,,,
566,Mu Chi Lambda,Illinois,Midwestern,,,,
445,Mu Delta,Georgia,Southern,,,,
549,Mu Delta Lambda,Illinois,Midwestern,,,,
446,Mu Epsilon,Wisconsin,Midwestern,,,,
550,Mu Epsilon Lambda,South Carolina,Southern,,,,
448,Mu Eta,"Arizona, Nevada, New Mexico",Western,,,,
552,Mu Eta Lambda,Wisconsin,Midwestern,,,,
444,Mu Gamma,Georgia,Southern,,,,
548,Mu Gamma Lambda,Mississippi,Southern,,,,
450,Mu Iota,Tennessee,Southern,,,,
554,Mu Iota Lambda,Alabama,Southern,,,,
451,Mu Kappa,Southern California,Western,,,,
555,Mu Kappa Lambda,Illinois,Midwestern,,,,
111,Mu Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
452,Mu Mu,Illinois,Midwestern,,,,
556,Mu Mu Lambda,Illinois,Midwestern,,,,
453,Mu Nu,Texas,Southwestern,,,,
557,Mu Nu Lambda,Tennessee,Southern,,,,
455,Mu Omicron,Georgia,Southern,,,,
559,Mu Omicron Lambda,Arkansas,Southwestern,,,,
461,Mu Phi,New England,Eastern,,,,
565,Mu Phi Lambda,Southern California,Western,,,,
456,Mu Pi,South Carolina,Southern,,,,
560,Mu Pi Lambda,Mississippi,Southern,,,,
463,Mu Psi,New England,Eastern,,,,
567,Mu Psi Lambda,Alabama,Southern,,,,
457,Mu Rho,"Washington DC, Maryland, Delaware",Eastern,,,,
561,Mu Rho Lambda,Texas,Southwestern,,,,
458,Mu Sigma,New York,Eastern,,,,
562,Mu Sigma Lambda,Southern California,Western,,,,
459,Mu Tau,North Carolina,Southern,,,,
563,Mu Tau Lambda,Iowa,Midwestern,,,,
449,Mu Theta,Florida,Southern,,,,
553,Mu Theta Lambda,New England,Eastern,,,,
460,Mu Upsilon,"Washington DC, Maryland, Delaware",Eastern,,,,
564,Mu Upsilon Lambda,Rocky Mountain (Colorado/Utah),Western,,,,
454,Mu Xi,Mississippi,Southern,,,,
558,Mu Xi Lambda,Southern California,Western,,,,
447,Mu Zeta,North Carolina,Southern,,,,
551,Mu Zeta Lambda,Florida,Southern,,,,
12,Nu,Pennsylvania,Eastern,,,,
464,Nu Alpha,Arkansas,Southwestern,,,,
568,Nu Alpha Lambda,Louisiana,Southwestern,,,,
465,Nu Beta,"Washington DC, Maryland, Delaware",Eastern,,,,
569,Nu Beta Lambda,Northern California,Western,,,,
484,Nu Chi,Northern California,Western,,,,
588,Nu Chi Lambda,Iowa,Midwestern,,,,
467,Nu Delta,Illinois,Midwestern,,,,
571,Nu Delta Lambda,Virginia,Eastern,,,,
468,Nu Epsilon,Illinois,Midwestern,,,,
572,Nu Epsilon Lambda,Great Northwest,Western,,,,
470,Nu Eta,Tennessee,Southern,,,,
574,Nu Eta Lambda,Florida,Southern,,,,
466,Nu Gamma,Georgia,Southern,,,,
570,Nu Gamma Lambda,New Jersey,Eastern,,,,
472,Nu Iota,New Jersey,Eastern,,,,
576,Nu Iota Lambda,North Carolina,Southern,,,,
473,Nu Kappa,"Washington DC, Maryland, Delaware",Eastern,,,,
577,Nu Kappa Lambda,North Carolina,Southern,,,,
112,Nu Lambda,Virginia,Eastern,,,,
474,Nu Mu,Georgia,Southern,,,,
578,Nu Mu Lambda,Georgia,Southern,,,,
475,Nu Nu,West Virginia,Midwestern,,,,
579,Nu Nu Lambda,Indiana,Midwestern,,,,
477,Nu Omicron,Wisconsin,Midwestern,,,,
581,Nu Omicron Lambda,Virginia,Eastern,,,,
483,Nu Phi,South Carolina,Southern,,,,
587,Nu Phi Lambda,Southern California,Western,,,,
478,Nu Pi,Indiana,Midwestern,,,,
582,Nu Pi Lambda,Texas,Southwestern,,,,
485,Nu Psi,Louisiana,Southwestern,,,,
589,Nu Psi Lambda,Illinois,Midwestern,,,,
479,Nu Rho,Illinois,Midwestern,,,,
583,Nu Rho Lambda,Michigan,Midwestern,,,,
480,Nu Sigma,Northern California,Western,,,,
584,Nu Sigma Lambda,Texas,Southwestern,,,,
481,Nu Tau,Alabama,Southern,,,,
585,Nu Tau Lambda,Southern California,Western,,,,
471,Nu Theta,Virginia,Eastern,,,,
575,Nu Theta Lambda,Louisiana,Southwestern,,,,
482,Nu Upsilon,Mississippi,Southern,,,,
586,Nu Upsilon Lambda,Pennsylvania,Eastern,,,,
476,Nu Xi,Wisconsin,Midwestern,,,,
580,Nu Xi Lambda,New England,Eastern,,,,
469,Nu Zeta,North Carolina,Southern,,,,
573,Nu Zeta Lambda,Great Northwest,Western,,,,
"10,000",Omega,District 700,Region 7,,,,
14,Omicron,Pennsylvania,Eastern,,,,
708,Omicron Alpha,Alabama,Southern,,,,
612,Omicron Alpha Lambda,Virginia,Eastern,,,,
709,Omicron Beta,North Carolina,Southern,,,,
613,Omicron Beta Lambda,Florida,Southern,,,,
728,Omicron Chi,South Carolina,Southern,,,,
632,Omicron Chi Lambda,,Southwestern,,,,
711,Omicron Delta,"Arizona, Nevada, New Mexico",Western,,,,
615,Omicron Delta Lambda,Pennsylvania,Eastern,,,,
712,Omicron Epsilon,Ohio,Midwestern,,,,
616,Omicron Epsilon Lambda,Texas,Southwestern,,,,
714,Omicron Eta,Southern California,Western,,,,
618,Omicron Eta Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
710,Omicron Gamma,Mississippi,Southern,,,,
614,Omicron Gamma Lambda,North Carolina,Southern,,,,
716,Omicron Iota,Illinois,Midwestern,,,,
620,Omicron Iota Lambda,South Carolina,Southern,,,,
717,Omicron Kappa,Alabama,Southern,,,,
621,Omicron Kappa Lambda,South Carolina,Southern,,,,
114,Omicron Lambda,Alabama,Southern,,,,
500,Omicron Lambda Alpha,"Washington DC, Maryland, Delaware",Eastern,,,,
501,Omicron Lambda Beta,Illinois,Midwestern,,,,
718,Omicron Mu,Michigan,Midwestern,,,,
622,Omicron Mu Lambda,Georgia,Southern,,,,
719,Omicron Nu,Oklahoma,Southwestern,,,,
623,Omicron Nu Lambda,Kentucky,Midwestern,,,,
721,Omicron Omicron,"Washington DC, Maryland, Delaware",Eastern,,,,
625,Omicron Omicron Lambda,Georgia,Southern,,,,
727,Omicron Phi,Tennessee,Southern,,,,
631,Omicron Phi Lambda,Georgia,Southern,,,,
722,Omicron Pi,Iowa,Midwestern,,,,
626,Omicron Pi Lambda,Georgia,Southern,,,,
729,Omicron Psi,Mississippi,Southern,,,,
633,Omicron Psi Lambda,Louisiana,Southwestern,,,,
723,Omicron Rho,Ohio,Midwestern,,,,
627,Omicron Rho Lambda,Mississippi,Southern,,,,
724,Omicron Sigma,Alabama,Southern,,,,
628,Omicron Sigma Lambda,Tennessee,Southern,,,,
725,Omicron Tau,Rocky Mountain (Colorado/Utah),Western,,,,
629,Omicron Tau Lambda,South Carolina,Southern,,,,
715,Omicron Theta,North Carolina,Southern,,,,
619,Omicron Theta Lambda,Northern California,Western,,,,
726,Omicron Upsilon,New York,Eastern,,,,
630,Omicron Upsilon Lambda,Florida,Southern,,,,
720,Omicron Xi,Illinois,Midwestern,,,,
624,Omicron Xi Lambda,Missouri,Midwestern,,,,
713,Omicron Zeta,New Jersey,Eastern,,,,
617,Omicron Zeta Lambda,Arkansas,Southwestern,,,,
20,Phi,Ohio,Midwestern,,,,
847,Phi Alpha,Virginia,Eastern,,,,
848,Phi Beta,"Arizona, Nevada, New Mexico",Western,,,,
900,Phi Chi,"Washington DC, Maryland, Delaware",Eastern,,,,
850,Phi Delta,North Carolina,Southern,,,,
851,Phi Epsilon,Indiana,Midwestern,,,,
854,Phi Eta,New Jersey,Eastern,,,,
849,Phi Gamma,North Carolina,Southern,,,,
856,Phi Iota,"Washington DC, Maryland, Delaware",Eastern,,,,
857,Phi Kappa,New York,Eastern,,,,
120,Phi Lambda,North Carolina,Southern,,,,
864,Phi Mu,Florida,Southern,,,,
865,Phi Nu,Illinois,Midwestern,,,,
879,Phi Omicron,New York,Eastern,,,,
896,Phi Phi,Southern California,Western,,,,
880,Phi Pi,North Carolina,Southern,,,,
881,Phi Rho,Illinois,Midwestern,,,,
882,Phi Sigma,Southern California,Western,,,,
883,Phi Tau,Georgia,Southern,,,,
855,Phi Theta,New Jersey,Eastern,,,,
888,Phi Upsilon,Southern California,Western,,,,
866,Phi Xi,Georgia,Southern,,,,
853,Phi Zeta,Virginia,Eastern,,,,
15,Pi,Ohio,Midwestern,,,,
730,Pi Alpha,South Carolina,Southern,,,,
634,Pi Alpha Lambda,Texas,Southwestern,,,,
731,Pi Beta,New York,Eastern,,,,
635,Pi Beta Lambda,"Arizona, Nevada, New Mexico",Western,,,,
750,Pi Chi,"Arizona, Nevada, New Mexico",Western,,,,
654,Pi Chi Lambda,North Carolina,Southern,,,,
733,Pi Delta,Alabama,Southern,,,,
637,Pi Delta Lambda,South Carolina,Southern,,,,
734,Pi Epsilon,Southern California,Western,,,,
638,Pi Epsilon Lambda,Alabama,Southern,,,,
736,Pi Eta,"Arizona, Nevada, New Mexico",Western,,,,
640,Pi Eta Lambda,Georgia,Southern,,,,
732,Pi Gamma,Northern California,Western,,,,
636,Pi Gamma Lambda,Georgia,Southern,,,,
738,Pi Iota,Illinois,Midwestern,,,,
642,Pi Iota Lambda,Georgia,Southern,,,,
739,Pi Kappa,Southern California,Western,,,,
643,Pi Kappa Lambda,,Southwestern,,,,
115,Pi Lambda,Arkansas,Southwestern,,,,
740,Pi Mu,West Virginia,Midwestern,,,,
644,Pi Mu Lambda,,Midwestern,,,,
741,Pi Nu,North Carolina,Southern,,,,
645,Pi Nu Lambda,Arkansas,Southwestern,,,,
743,Pi Omicron,Texas,Southwestern,,,,
647,Pi Omicron Lambda,Kansas,Midwestern,,,,
749,Pi Phi,Ohio,Midwestern,,,,
653,Pi Phi Lambda,,Southwestern,,,,
744,Pi Pi,New York,Eastern,,,,
648,Pi Pi Lambda,Louisiana,Southwestern,,,,
751,Pi Psi,Arkansas,Southwestern,,,,
655,Pi Psi Lambda,Florida,Southern,,,,
745,Pi Rho,Pennsylvania,Eastern,,,,
649,Pi Rho Lambda,Southern California,Western,,,,
746,Pi Sigma,Illinois,Midwestern,,,,
650,Pi Sigma Lambda,Mississippi,Southern,,,,
747,Pi Tau,Georgia,Southern,,,,
651,Pi Tau Lambda,New England,Eastern,,,,
737,Pi Theta,"Washington DC, Maryland, Delaware",Eastern,,,,
641,Pi Theta Lambda,Texas,Southwestern,,,,
748,Pi Upsilon,Michigan,Midwestern,,,,
652,Pi Upsilon Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
742,Pi Xi,New Jersey,Eastern,,,,
646,Pi Xi Lambda,Rocky Mountain (Colorado/Utah),Western,,,,
735,Pi Zeta,North Carolina,Southern,,,,
639,Pi Zeta Lambda,"Arizona, Nevada, New Mexico",Western,,,,
22,Psi,Pennsylvania,Eastern,,,,
122,Psi Lambda,Tennessee,Southern,,,,
"9,999",Renounced Chapter,Renounced,Region 7,,,,
16,Rho,Pennsylvania,Eastern,,,,
752,Rho Alpha,New York,Eastern,,,,
656,Rho Alpha Lambda,North Carolina,Southern,,,,
753,Rho Beta,Great Northwest,Western,,,,
657,Rho Beta Lambda,North Carolina,Southern,,,,
772,Rho Chi,Alabama,Southern,,,,
675,Rho Chi Lambda,International,Eastern,,,,
755,Rho Delta,Michigan,Midwestern,,,,
659,Rho Delta Lambda,South Carolina,Southern,,,,
756,Rho Epsilon,Louisiana,Southwestern,,,,
660,Rho Epsilon Lambda,Mississippi,Southern,,,,
758,Rho Eta,Kentucky,Midwestern,,,,
662,Rho Eta Lambda,Alabama,Southern,,,,
754,Rho Gamma,Kentucky,Midwestern,,,,
658,Rho Gamma Lambda,Mississippi,Southern,,,,
760,Rho Iota,Louisiana,Southwestern,,,,
664,Rho Iota Lambda,Virginia,Eastern,,,,
761,Rho Kappa,New York,Eastern,,,,
665,Rho Kappa Lambda,Georgia,Southern,,,,
116,Rho Lambda,New York,Eastern,,,,
762,Rho Mu,Texas,Southwestern,,,,
666,Rho Mu Lambda,Georgia,Southern,,,,
763,Rho Nu,New England,Eastern,,,,
667,Rho Nu Lambda,Texas,Southwestern,,,,
765,Rho Omicron,New York,Eastern,,,,
669,Rho Omicron Lambda,Florida,Southern,,,,
771,Rho Phi,Mississippi,Southern,,,,
674,Rho Phi Lambda,International,Eastern,,,,
766,Rho Pi,Pennsylvania,Eastern,,,,
670,Rho Pi Lambda,Georgia,Southern,,,,
773,Rho Psi,Texas,Southwestern,,,,
676,Rho Psi Lambda,New York,Eastern,,,,
767,Rho Rho,New York,Eastern,,,,
768,Rho Sigma,New York,Eastern,,,,
671,Rho Sigma Lambda,Georgia,Southern,,,,
769,Rho Tau,Indiana,Midwestern,,,,
672,Rho Tau Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
759,Rho Theta,Missouri,Midwestern,,,,
663,Rho Theta Lambda,North Carolina,Southern,,,,
770,Rho Upsilon,Ohio,Midwestern,,,,
673,Rho Upsilon Lambda,Alabama,Southern,,,,
764,Rho Xi,Florida,Southern,,,,
668,Rho Xi Lambda,Mississippi,Southern,,,,
757,Rho Zeta,South Carolina,Southern,,,,
661,Rho Zeta Lambda,Illinois,Midwestern,,,,
17,Sigma,New England,Eastern,,,,
774,Sigma Alpha,Northern California,Western,,,,
677,Sigma Alpha Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
775,Sigma Beta,Tennessee,Southern,,,,
678,Sigma Beta Lambda,Florida,Southern,,,,
794,Sigma Chi,South Carolina,Southern,,,,
871,Sigma Chi Lambda,New Jersey,Eastern,,,,
777,Sigma Delta,North Carolina,Southern,,,,
830,Sigma Delta Lambda,Michigan,Midwestern,,,,
778,Sigma Epsilon,Texas,Southwestern,,,,
832,Sigma Epsilon Lambda,Canada,Midwestern,,,,
780,Sigma Eta,New York,Eastern,,,,
836,Sigma Eta Lambda,Georgia,Southern,,,,
776,Sigma Gamma,Ohio,Midwestern,,,,
679,Sigma Gamma Lambda,Texas,Southwestern,,,,
782,Sigma Iota,Canada,Midwestern,,,,
843,Sigma Iota Lambda,Mississippi,Southern,,,,
783,Sigma Kappa,Missouri,Midwestern,,,,
852,Sigma Kappa Lambda,Indiana,Midwestern,,,,
117,Sigma Lambda,Louisiana,Southwestern,,,,
784,Sigma Mu,New York,Eastern,,,,
858,Sigma Mu Lambda,Pennsylvania,Eastern,,,,
785,Sigma Nu,New Jersey,Eastern,,,,
859,Sigma Nu Lambda,Missouri,Midwestern,,,,
787,Sigma Omicron,New York,Eastern,,,,
861,Sigma Omicron Lambda,Georgia,Southern,,,,
793,Sigma Phi,Indiana,Midwestern,,,,
870,Sigma Phi Lambda,Arkansas,Southwestern,,,,
788,Sigma Pi,Virginia,Eastern,,,,
862,Sigma Pi Lambda,Florida,Southern,,,,
795,Sigma Psi,"Arizona, Nevada, New Mexico",Western,,,,
872,Sigma Psi Lambda,International,Eastern,,,,
789,Sigma Rho,South Carolina,Southern,,,,
863,Sigma Rho Lambda,Tennessee,Southern,,,,
790,Sigma Sigma,"Washington DC, Maryland, Delaware",Eastern,,,,
867,Sigma Sigma Lambda,Mississippi,Southern,,,,
791,Sigma Tau,South Carolina,Southern,,,,
868,Sigma Tau Lambda,South Carolina,Southern,,,,
781,Sigma Theta,Missouri,Midwestern,,,,
839,Sigma Theta Lambda,Georgia,Southern,,,,
792,Sigma Upsilon,Florida,Southern,,,,
869,Sigma Upsilon Lambda,Wisconsin,Midwestern,,,,
786,Sigma Xi,New Jersey,Eastern,,,,
860,Sigma Xi Lambda,Kentucky,Midwestern,,,,
779,Sigma Zeta,New England,Eastern,,,,
834,Sigma Zeta Lambda,New Jersey,Eastern,,,,
18,Tau,Illinois,Midwestern,,,,
796,Tau Alpha,Texas,Southwestern,,,,
873,Tau Alpha Lambda,International,Eastern,,,,
797,Tau Beta,Louisiana,Southwestern,,,,
874,Tau Beta Lambda,Florida,Southern,,,,
816,Tau Chi,Georgia,Southern,,,,
799,Tau Delta,Florida,Southern,,,,
876,Tau Delta Lambda,Florida,Southern,,,,
800,Tau Epsilon,Georgia,Southern,,,,
877,Tau Epsilon Lambda,Georgia,Southern,,,,
802,Tau Eta,South Carolina,Southern,,,,
884,Tau Eta Lambda,Mississippi,Southern,,,,
798,Tau Gamma,Florida,Southern,,,,
875,Tau Gamma Lambda,Georgia,Southern,,,,
804,Tau Iota,Alabama,Southern,,,,
886,Tau Iota Lambda,Tennessee,Southern,,,,
805,Tau Kappa,Michigan,Midwestern,,,,
887,Tau Kappa Lambda,Florida,Southern,,,,
118,Tau Lambda,Tennessee,Southern,,,,
806,Tau Mu,Texas,Southwestern,,,,
889,Tau Mu Lambda,Southern California,Western,,,,
807,Tau Nu,North Carolina,Southern,,,,
890,Tau Nu Lambda,New York,Eastern,,,,
809,Tau Omicron,North Carolina,Southern,,,,
892,Tau Omicron Lambda,Texas,Southwestern,,,,
815,Tau Phi,Tennessee,Southern,,,,
899,Tau Phi Lambda,Arkansas,Southwestern,,,,
810,Tau Pi,Florida,Southern,,,,
893,Tau Pi Lambda,Texas,Southwestern,,,,
817,Tau Psi,Tennessee,Southern,,,,
811,Tau Rho,Georgia,Southern,,,,
894,Tau Rho Lambda,Illinois,Midwestern,,,,
812,Tau Sigma,"Arizona, Nevada, New Mexico",Western,,,,
895,Tau Sigma Lambda,Illinois,Midwestern,,,,
813,Tau Tau,Texas,Southwestern,,,,
897,Tau Tau Lambda,Georgia,Southern,,,,
803,Tau Theta,Florida,Southern,,,,
885,Tau Theta Lambda,Missouri,Midwestern,,,,
814,Tau Upsilon,Indiana,Midwestern,,,,
898,Tau Upsilon Lambda,Georgia,Southern,,,,
808,Tau Xi,Texas,Southwestern,,,,
891,Tau Xi Lambda,,Western,,,,
801,Tau Zeta,Georgia,Southern,,,,
878,Tau Zeta Lambda,Florida,Southern,,,,
8,Theta,Illinois,Midwestern,,,,
376,Theta Alpha,Texas,Southwestern,,,,
278,Theta Alpha Lambda,Alabama,Southern,,,,
377,Theta Beta,Georgia,Southern,,,,
279,Theta Beta Lambda,Northern California,Western,,,,
396,Theta Chi,Louisiana,Southwestern,,,,
298,Theta Chi Lambda,New York,Eastern,,,,
379,Theta Delta,Alabama,Southern,,,,
281,Theta Delta Lambda,Texas,Southwestern,,,,
380,Theta Epsilon,New York,Eastern,,,,
282,Theta Epsilon Lambda,Florida,Southern,,,,
382,Theta Eta,Northern California,Western,,,,
284,Theta Eta Lambda,Florida,Southern,,,,
378,Theta Gamma,Florida,Southern,,,,
280,Theta Gamma Lambda,Alabama,Southern,,,,
384,Theta Iota,Virginia,Eastern,,,,
286,Theta Iota Lambda,New England,Eastern,,,,
385,Theta Kappa,Arkansas,Southwestern,,,,
