chapter_key,chapter_name,district,region,district_director_name,district_director_email,regional_vice_president_name,regional_vice_president_email
345,Zeta Omicron,Kentucky,Midwestern,,,,
247,Zeta Omicron Lambda,Pennsylvania,Eastern,,,,
351,Zeta Phi,Mississippi,Southern,,,,
253,Zeta Phi Lambda,New England,Eastern,,,,
346,Zeta Pi,Georgia,Southern,,,,
248,Zeta Pi Lambda,Great Northwest,Western,,,,
353,Zeta Psi,Pennsylvania,Eastern,,,,
255,Zeta Psi Lambda,Louisiana,Southwestern,,,,
347,Zeta Rho,Indiana,Midwestern,,,,
249,Zeta Rho Lambda,"Washington DC, Maryland, Delaware",Eastern,,,,
348,Zeta Sigma,Oklahoma,Southwestern,,,,
250,Zeta Sigma Lambda,Southern California,Western,,,,
349,Zeta Tau,Texas,Southwestern,,,,
251,Zeta Tau Lambda,Texas,Southwestern,,,,
339,Zeta Theta,"Arizona, Nevada, New Mexico",Western,,,,
241,Zeta Theta Lambda,Pennsylvania,Eastern,,,,
350,Zeta Upsilon,Oklahoma,Southwestern,,,,
252,Zeta Upsilon Lambda,Virginia,Eastern,,,,
344,Zeta Xi,Louisiana,Southwestern,,,,
246,Zeta Xi Lambda,Illinois,Midwestern,,,,
337,Zeta Zeta,Oklahoma,Southwestern,,,,
239,Zeta Zeta Lambda,New York,Eastern,,,,
